Reviewer Name,Country,Review Rating,Review Description
npowell88,United States,1.7,The article written just didn't show enough domain knowledge. The seller should have just told me it was over their head rather than just completing the order.
jainapatel143,United Kingdom,5,Great job
jainapatel143,United Kingdom,5,"Highly recommend, did best work as per the requirements,available all the time"
mecctec,United States,5,Great work! Did not have to do much revising on the final delivery.
dhooms2,Saudi Arabia,5,Perfect solution
squirrelpatrick,Costa Rica,5,"My first session, hollyqui was accommodating with time scheduling and instruction on genetic algorithms was very well presented. I am looking forward to the next one"
mondyholten,Netherlands,5,great results!
leizhang22,United States,5,"top notch delivery, highly recommend"
amitkoren369,Israel,5,Felix was very patient with great communication skills
dogood123,United States,5,great session!!
syedadilshah,Pakistan,5,Khizar is very professional in what he does. Will surely order again in future
davepennypac190,United States,5,Great to work with.
guy_shlomo,Israel,5,"Khizar did a great job, very high level delivery."
eliranfarhi,Israel,5,"Another great delivery. Never disappointing.
Good understanding of the needs, great product delivery. very professional."
dinadub,Ireland,5,recommend buying this Gig
custudo55,Germany,5,"If your book manuelks you will have nothing to conplain about, He putts very much effort into his work and is very knowledgeable and has great experience in his craft. The communication throughout the project is excellent"
mazacar71,Ireland,5,"Very helpful, organized and supportive anytime"
adrianschachter,Switzerland,5,Thanks!! Manuel was super helpful
custudo55,Germany,5,Was a pleasure to work with and had an extensive amount of knowledge
chrisdesignqx,Germany,5,You helped me so much. Thank you - for the next project I contact you again.
tonytsuka,Netherlands,4.3,"Excelent and ""clean"" work!"
agarwal2205,Australia,5,Satisfied service in very less time. Always responsive and eager to help!!!!
ruthcampbel,United States,5,"Seller was perfect, delivered exactly what I wanted with on time deliver. I would recommend his services"
lucaaa287,United States,5,It was great to work with you.
deepakmanoj,Singapore,5,Thank you for your hard work and helping me complete in time
nehasharan2306,India,5,"I found coders__hub one of the greatest to work with. He was very accommodating to all my needs in the project, did a great job in meeting my expectations. He might seem pricey, but he is worth every penny. Will definitely come back for more projects to coders__hub.
Thanks, coders__hub."
openai_solution,Pakistan,5,Great Experience
monger47,United Kingdom,5,Delivered within the time and did a really good work
babakes,Netherlands,5,He is very dedicated to work.
isarazaleigh,Singapore,5,Excellent work! Delivery exactly as needed. Thank you.
huda_2,United Kingdom,5,"Kudos to Bilal, Good work everyone."
huda_2,United Kingdom,5,"Good work chaps, Kudos to Bilal, wonderful person to communicate with!"
siglii,Belgium,5,Type a comment…
shaned95,Ireland,5,great work as always. very reliable
shaned95,Ireland,5,great seller
manalboukari,Morocco,4.7,"It was a pleasure working with this seller !! he's professional and Very responsive and very knowledgeable. he delivered the project on time
i will work with him again and i recommand him"
missyca,United States,5,Amazing experience - great quality work and mentorship to show me how to upload and understand the final file. Will use again very soon.
missyca,United States,5,This is my second project with this seller and he again did a superb job. The seller is a great communicator and delivered quality work ahead of the deadline. He will continue to be my go-to for my python projects.
missyca,United States,5,"Great seller, third time hiring him and will do again."
aalhmoudi,United Arab Emirates,5,Great work
raj6769,India,5,"It was a beautiful experience. Excellent communication. Very patiently went through everything that I wanted and did a fantastic, accurate job. Hiring again very soon. Good work, Yasirazeem"
anamikachauhan,India,5,Outstanding Seller. Amazing service. He was very cooperative and worked patiently on solving my issues. Highly recommended. Would love to take his service again.
stephenadesign,United Kingdom,5,"Excellent job done, executed the bot to do exactly what i asked for. Highly recommended. Hope to work with you more."
raj6769,India,5,Another great delivery. Solved many complex issues. Great Work. Thanks Yasirazeem.
