Keyword,Service Url,Reviewer Name,Country,Review Rating,Review Description
artificial   intelligence,/coders__hub/artificial-intelligence-data-science-machine-and-deep-learning-in-python?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=1&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,nehasharan2306,India,5,"I found coders__hub one of the greatest to work with. He was very accommodating to all my needs in the project, did a great job in meeting my expectations. He might seem pricey, but he is worth every penny. Will definitely come back for more projects to coders__hub.
Thanks, coders__hub."
artificial   intelligence,/coders__hub/artificial-intelligence-data-science-machine-and-deep-learning-in-python?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=1&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,openai_solution,Pakistan,5,Great Experience
artificial   intelligence,/coders__hub/artificial-intelligence-data-science-machine-and-deep-learning-in-python?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=1&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,monger47,United Kingdom,5,Delivered within the time and did a really good work
artificial   intelligence,/coders__hub/artificial-intelligence-data-science-machine-and-deep-learning-in-python?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=1&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,babakes,Netherlands,5,He is very dedicated to work.
artificial   intelligence,/coders__hub/artificial-intelligence-data-science-machine-and-deep-learning-in-python?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=1&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,isarazaleigh,Singapore,5,Excellent work! Delivery exactly as needed. Thank you.
artificial   intelligence,/huz_ai/do-python-and-artificial-intelligence-projects?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=2&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,manalboukari,Morocco,4.7,"It was a pleasure working with this seller !! he's professional and Very responsive and very knowledgeable. he delivered the project on time
i will work with him again and i recommand him"
artificial   intelligence,/huz_ai/do-python-and-artificial-intelligence-projects?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=2&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,missyca,United States,5,Amazing experience - great quality work and mentorship to show me how to upload and understand the final file. Will use again very soon.
artificial   intelligence,/huz_ai/do-python-and-artificial-intelligence-projects?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=2&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,missyca,United States,5,This is my second project with this seller and he again did a superb job. The seller is a great communicator and delivered quality work ahead of the deadline. He will continue to be my go-to for my python projects.
artificial   intelligence,/huz_ai/do-python-and-artificial-intelligence-projects?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=2&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,missyca,United States,5,"Great seller, third time hiring him and will do again."
artificial   intelligence,/huz_ai/do-python-and-artificial-intelligence-projects?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=2&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,aalhmoudi,United Arab Emirates,5,Great work
artificial   intelligence,/tecbeck355/python-programming-data-mining-web-scraping-machine-learning-script-automation?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=3&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300&seller_online=true,huda_2,United Kingdom,5,"Kudos to Bilal, Good work everyone."
artificial   intelligence,/tecbeck355/python-programming-data-mining-web-scraping-machine-learning-script-automation?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=3&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300&seller_online=true,huda_2,United Kingdom,5,"Good work chaps, Kudos to Bilal, wonderful person to communicate with!"
artificial   intelligence,/tecbeck355/python-programming-data-mining-web-scraping-machine-learning-script-automation?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=3&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300&seller_online=true,siglii,Belgium,5,Type a comment…
artificial   intelligence,/tecbeck355/python-programming-data-mining-web-scraping-machine-learning-script-automation?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=3&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300&seller_online=true,shaned95,Ireland,5,great work as always. very reliable
artificial   intelligence,/tecbeck355/python-programming-data-mining-web-scraping-machine-learning-script-automation?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=3&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300&seller_online=true,shaned95,Ireland,5,great seller
artificial   intelligence,/hollyqui/tutor-you-in-machine-learning-and-artificial-intelligence?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=4&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300&fiverr_choice=true,squirrelpatrick,Costa Rica,5,"My first session, hollyqui was accommodating with time scheduling and instruction on genetic algorithms was very well presented. I am looking forward to the next one"
artificial   intelligence,/hollyqui/tutor-you-in-machine-learning-and-artificial-intelligence?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=4&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300&fiverr_choice=true,mondyholten,Netherlands,5,great results!
artificial   intelligence,/hollyqui/tutor-you-in-machine-learning-and-artificial-intelligence?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=4&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300&fiverr_choice=true,leizhang22,United States,5,"top notch delivery, highly recommend"
artificial   intelligence,/hollyqui/tutor-you-in-machine-learning-and-artificial-intelligence?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=4&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300&fiverr_choice=true,amitkoren369,Israel,5,Felix was very patient with great communication skills
artificial   intelligence,/hollyqui/tutor-you-in-machine-learning-and-artificial-intelligence?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=4&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300&fiverr_choice=true,dogood123,United States,5,great session!!
artificial   intelligence,/thesolutionhub_/do-artificial-intelligence-data-science-machine-and-deep-learning-in-python?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=5&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300&seller_online=true,tonytsuka,Netherlands,4.3,"Excelent and ""clean"" work!"
artificial   intelligence,/thesolutionhub_/do-artificial-intelligence-data-science-machine-and-deep-learning-in-python?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=5&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300&seller_online=true,agarwal2205,Australia,5,Satisfied service in very less time. Always responsive and eager to help!!!!
artificial   intelligence,/thesolutionhub_/do-artificial-intelligence-data-science-machine-and-deep-learning-in-python?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=5&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300&seller_online=true,ruthcampbel,United States,5,"Seller was perfect, delivered exactly what I wanted with on time deliver. I would recommend his services"
artificial   intelligence,/thesolutionhub_/do-artificial-intelligence-data-science-machine-and-deep-learning-in-python?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=5&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300&seller_online=true,lucaaa287,United States,5,It was great to work with you.
artificial   intelligence,/thesolutionhub_/do-artificial-intelligence-data-science-machine-and-deep-learning-in-python?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=5&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300&seller_online=true,deepakmanoj,Singapore,5,Thank you for your hard work and helping me complete in time
artificial   intelligence,/ayo_ai/write-articles-on-artificial-intelligence-machine-learning-and-tech?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=6&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,npowell88,United States,1.7,The article written just didn't show enough domain knowledge. The seller should have just told me it was over their head rather than just completing the order.
artificial   intelligence,/ayo_ai/write-articles-on-artificial-intelligence-machine-learning-and-tech?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=6&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,jainapatel143,United Kingdom,5,Great job
artificial   intelligence,/ayo_ai/write-articles-on-artificial-intelligence-machine-learning-and-tech?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=6&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,jainapatel143,United Kingdom,5,"Highly recommend, did best work as per the requirements,available all the time"
artificial   intelligence,/ayo_ai/write-articles-on-artificial-intelligence-machine-learning-and-tech?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=6&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,mecctec,United States,5,Great work! Did not have to do much revising on the final delivery.
artificial   intelligence,/ayo_ai/write-articles-on-artificial-intelligence-machine-learning-and-tech?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=6&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,dhooms2,Saudi Arabia,5,Perfect solution
artificial   intelligence,/manuelks/write-a-java-module?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=7&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,custudo55,Germany,5,"If your book manuelks you will have nothing to conplain about, He putts very much effort into his work and is very knowledgeable and has great experience in his craft. The communication throughout the project is excellent"
artificial   intelligence,/manuelks/write-a-java-module?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=7&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,mazacar71,Ireland,5,"Very helpful, organized and supportive anytime"
artificial   intelligence,/manuelks/write-a-java-module?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=7&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,adrianschachter,Switzerland,5,Thanks!! Manuel was super helpful
artificial   intelligence,/manuelks/write-a-java-module?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=7&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,custudo55,Germany,5,Was a pleasure to work with and had an extensive amount of knowledge
artificial   intelligence,/manuelks/write-a-java-module?context_referrer=search_gigs&source=top-bar&ref_ctx_id=c5f0b6f7bf9c9fa746b01dec49d08055&pckg_id=1&pos=7&context_type=auto&funnel=ef60b27ee4712add89206fc6b9ab0300,chrisdesignqx,Germany,5,You helped me so much. Thank you - for the next project I contact you again.
